Document,Topic_group,Priority
Cloud storage wondering quota cloud storage quota database cloud storage trivial cloud storage.,Storage,Low
Broken screen monitor laptop printer monitor screen printer broken battery paper monitor broken.,Hardware,Medium
Zoom zoom meeting software help meeting crashing meeting meeting meeting crashing.,Miscellaneous,Medium
Asap authentication password blocked vpn login access denied.,Access,High
Help help update feedback question slow error feedback.,Miscellaneous,Medium
Insurance benefits blocked benefits onboarding pto leave emergency.,HR Support,High
Question question software wondering crashing help update slow.,Miscellaneous,Low
Account no rush reset reset account access denied access denied trivial password locked out vpn account login.,Access,Low
Power keyboard screen broken power laptop broken paper monitor battery mouse screen mouse paper.,Hardware,Medium
Urgent vpn access denied authentication critical reset vpn password password credentials account access denied locked out vpn locked out login.,Access,High
Vacation onboarding vacation onboarding payroll benefits.,HR Support,Medium
Battery laptop keyboard power question power broken whenever paper paper laptop monitor battery.,Hardware,Low
Crashing zoom error software error emergency error meeting update asap feedback.,Miscellaneous,High
Reset password login account reset access denied login authentication authentication account locked out whenever authentication reset update account.,Access,Low
Full onedrive cloud storage cloud storage drive onedrive.,Storage,Medium
Authentication whenever authentication access denied locked out reset no rush access denied access denied reset access denied access denied login authentication password.,Access,Low
Locked out login reset suggestion credentials password reset trivial account password reset vpn account reset access denied login access denied.,Access,Low
Mouse monitor power broken laptop paper broken mouse broken paper keyboard mouse laptop keyboard screen.,Hardware,Medium
Help feedback question meeting feedback software feedback crashing feedback software feedback feedback crashing meeting zoom.,Miscellaneous,Medium
Cloud storage missing files disk space quota missing files quota onedrive disk space missing files quota cloud storage drive database quota drive.,Storage,Medium
Power paper battery broken keyboard monitor power.,Hardware,Medium
Disk space disk space full full drive wondering wondering drive onedrive.,Storage,Low
Login login reset credentials question vpn wondering.,Access,Low
Backup database cloud storage trivial missing files backup quota missing files disk space full onedrive cloud storage quota suggestion drive.,Storage,Low
Password account account access denied vpn account reset reset account.,Access,Medium
Paper power suggestion screen battery whenever printer mouse keyboard.,Hardware,Low
W2 payroll onboarding insurance payroll payroll w2 update pto suggestion onboarding payroll leave timesheet vacation w2.,HR Support,Low
Timesheet whenever vacation insurance leave pto w2 vacation timesheet question payroll w2 insurance insurance insurance.,HR Support,Low
Screen laptop monitor no rush laptop broken printer printer trivial.,Hardware,Low
Error feedback help feedback crashing crashing software no rush no rush slow meeting question.,Miscellaneous,Low
Leave w2 benefits timesheet w2 urgent leave pto leave benefits vacation benefits pto timesheet urgent.,HR Support,High
Insurance timesheet timesheet payroll pto onboarding leave insurance payroll w2 onboarding insurance w2 onboarding update whenever onboarding.,HR Support,Low
Laptop keyboard laptop mouse broken.,Hardware,Medium
Reset login locked out reset password reset locked out authentication authentication login authentication access denied.,Access,Medium
Onedrive update backup backup database drive cloud storage onedrive whenever.,Storage,Low
Payroll onboarding w2 onboarding vacation w2 pto vacation pto insurance benefits leave vacation.,HR Support,Medium
Power paper battery keyboard paper monitor printer monitor broken laptop paper paper monitor.,Hardware,Medium
Vpn locked out password authentication password account vpn.,Access,Medium
Crashing error meeting slow software slow.,Miscellaneous,Medium
Question password credentials login password reset no rush login reset.,Access,Low
Error help help error crashing help help update zoom help update feedback whenever trivial.,Miscellaneous,Low
Cloud storage drive missing files disk space quota.,Storage,Medium
Question slow crashing update feedback immediately crashing slow zoom crashing crashing update error zoom software urgent.,Miscellaneous,High
No rush reset account password reset access denied reset access denied authentication reset vpn login vpn question login authentication.,Access,Low
Reset password reset authentication reset password locked out login login vpn access denied account authentication locked out reset.,Access,Medium
Password access denied reset reset account authentication reset question vpn authentication vpn login update vpn account.,Access,Low
